username,link,path,gender,mode,activity_level,chapter_location
f1def17fb86e1591f834e0c120229d0a94c335ca05ba2a15ad3046d50ff724cf,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/5c6cb4fdd4cf9c92d5f64a288cbc1316/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part3Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/11f693e669df4579add6d3a7448331fc/,m,audit,30_min_to_5_hr,Part 3: Research Methods II
e8b4b8c786d4de7ca344a0ef0892b2b5720deb236fd6246ad7b4a8b37b4e408d,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87/?child=first,m,audit,30_min_to_5_hr,Part 1: What Is Psychology?
e8b4b8c786d4de7ca344a0ef0892b2b5720deb236fd6246ad7b4a8b37b4e408d,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/?child=first,m,audit,30_min_to_5_hr,Part 1: What Is Psychology?
688bdd8dd0d68e18b8632931b8098d350c7d71be0350e4211bb40d4ee04595c9,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/5c6cb4fdd4cf9c92d5f64a288cbc1316/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part3Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/11f693e669df4579add6d3a7448331fc/?child=first,m,audit,30_min_to_5_hr,Part 3: Research Methods II
688bdd8dd0d68e18b8632931b8098d350c7d71be0350e4211bb40d4ee04595c9,"{""target_url"": ""http://www.livescience.com/25448-pareidolia.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,m,audit,30_min_to_5_hr,Part 2: Research Methods I
859c52c25aa97def3698e16923de092c22fcf71e7b7ada52db3daa910154fb3b,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/7bbf5e7db7b14bd5af987ba913855eb5/,f,audit,30_min_to_5_hr,Part 2: Research Methods I
6559421c3e7e21120769fc3699ee2e9e6f2a7b695114d8203f11cc5886edfc1e,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/e6a98cfb2e5748e3b76f5c51251ef9d7/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/Creating_scatterplots_in_excel.xlsx"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/3db61e58647d4102aa86b308892ea2a9/?child=first,f,audit,over_5_hr,Part 3: Research Methods II
a5b8e36c8218edfda372d37ac1b1d0c040ea8490a207b07d04379f00697930a4,"{""target_url"": ""http://openstaxcollege.org/l/scatplot"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08/,NA,audit,over_5_hr,Part 3: Research Methods II
a5b8e36c8218edfda372d37ac1b1d0c040ea8490a207b07d04379f00697930a4,"{""target_url"": ""http://openstaxcollege.org/l/rannumbers"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08/,NA,audit,over_5_hr,Part 3: Research Methods II
a5b8e36c8218edfda372d37ac1b1d0c040ea8490a207b07d04379f00697930a4,"{""target_url"": ""http://openstaxcollege.org/l/owl"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08/,NA,audit,over_5_hr,Part 3: Research Methods II
