index,category,name,path,chapter_location
1,course,AP? Psychology - Part 1: What is Psychology?,/1,no info
2,chapter,Course Information,/5172164dac324a3f846d193eecd559e0,Course Information
3,sequential,Syllabus,/5172164dac324a3f846d193eecd559e0/8024ad96ea0d4ec3b9ff891a8dca096b,Course Information
4,vertical,Syllabus,/5172164dac324a3f846d193eecd559e0/8024ad96ea0d4ec3b9ff891a8dca096b,Course Information
5,html,Syllabus,/5172164dac324a3f846d193eecd559e0/8024ad96ea0d4ec3b9ff891a8dca096b,Course Information
6,sequential,Course Outline,/5172164dac324a3f846d193eecd559e0/729ef939f7894d109f2d5b52a0153c55,Course Information
7,vertical,Course Outline,/5172164dac324a3f846d193eecd559e0/729ef939f7894d109f2d5b52a0153c55,Course Information
8,html,Course Outline,/5172164dac324a3f846d193eecd559e0/729ef939f7894d109f2d5b52a0153c55,Course Information
9,sequential,Getting Started on edX,/5172164dac324a3f846d193eecd559e0/4f7d8ba71271444a946b35623d892125,Course Information
10,vertical,Getting Started on edX,/5172164dac324a3f846d193eecd559e0/4f7d8ba71271444a946b35623d892125,Course Information
11,html,Getting Started,/5172164dac324a3f846d193eecd559e0/4f7d8ba71271444a946b35623d892125,Course Information
12,sequential,Course Team,/5172164dac324a3f846d193eecd559e0/134a9f0b1c4b45228334ca553992e493,Course Information
13,vertical,Course Team,/5172164dac324a3f846d193eecd559e0/134a9f0b1c4b45228334ca553992e493,Course Information
14,html,Course Team,/5172164dac324a3f846d193eecd559e0/134a9f0b1c4b45228334ca553992e493,Course Information
15,sequential,Introduce Yourself!,/5172164dac324a3f846d193eecd559e0/9c66f60def2b43e0a61b6065bec3aeca,Course Information
16,vertical,Introduce Yourself!,/5172164dac324a3f846d193eecd559e0/9c66f60def2b43e0a61b6065bec3aeca,Course Information
17,html,Introduce Yourself!,/5172164dac324a3f846d193eecd559e0/9c66f60def2b43e0a61b6065bec3aeca,Course Information
18,html,For the Course Team,/5172164dac324a3f846d193eecd559e0/9c66f60def2b43e0a61b6065bec3aeca,Course Information
19,lti,11c58261830f481caa8aac9c4cd8acda,/5172164dac324a3f846d193eecd559e0/9c66f60def2b43e0a61b6065bec3aeca,Course Information
23,sequential,Pre-Course Survey,/5172164dac324a3f846d193eecd559e0/2fc09109b8a14ba2b35bb11997cedc5e,Course Information
24,vertical,Pre-Course Survey,/5172164dac324a3f846d193eecd559e0/2fc09109b8a14ba2b35bb11997cedc5e,Course Information
25,html,Pre-Course Survey,/5172164dac324a3f846d193eecd559e0/2fc09109b8a14ba2b35bb11997cedc5e,Course Information
26,chapter,Part 1: What Is Psychology?,/9343693e210b4e8ca7c0482fdc166d27,Part 1: What Is Psychology?
27,sequential,Introduction to Part 1,/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c,Part 1: What Is Psychology?
28,vertical,Introduction to Part 1,/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c,Part 1: What Is Psychology?
29,html,Introduction to Part 1,/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c,Part 1: What Is Psychology?
32,sequential,Part 1 Readings,/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87,Part 1: What Is Psychology?
33,vertical,"Readings: Chapter 1, Introduction",/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87,Part 1: What Is Psychology?
34,html,"Readings: Chapter 1, Introduction",/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87,Part 1: What Is Psychology?
35,vertical,"Readings: Chapter 1, Section 1.1 - What is Psychology?",/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87,Part 1: What Is Psychology?
36,html,"Readings: Chapter 1, Section 1.1",/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87,Part 1: What Is Psychology?
37,vertical,"Readings: Chapter 1, Section 1.2 - History of Psychology",/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87,Part 1: What Is Psychology?
38,html,"Readings: Chapter 1, Section 1.2",/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87,Part 1: What Is Psychology?
39,vertical,"Readings: Chapter 1, Section 1.3 - Contemporary Psychology",/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87,Part 1: What Is Psychology?
