category,index,name,module_id,graded
lti,19,11c58261830f481caa8aac9c4cd8acda,UBCx/PSYC.1x/lti/11c58261830f481caa8aac9c4cd8acda,None
html,5,Syllabus,UBCx/PSYC.1x/sequential/8024ad96ea0d4ec3b9ff891a8dca096b/1,None
html,8,Course Outline,UBCx/PSYC.1x/sequential/729ef939f7894d109f2d5b52a0153c55/1,None
html,11,Getting Started,UBCx/PSYC.1x/sequential/4f7d8ba71271444a946b35623d892125/1,None
html,14,Course Team,UBCx/PSYC.1x/sequential/134a9f0b1c4b45228334ca553992e493/1,None
html,17,Introduce Yourself!,UBCx/PSYC.1x/sequential/9c66f60def2b43e0a61b6065bec3aeca/1,None
html,18,For the Course Team,UBCx/PSYC.1x/sequential/9c66f60def2b43e0a61b6065bec3aeca/1,None
html,22,Course Questions,UBCx/PSYC.1x/sequential/3fcef04e24654461b38069a186653b5b/1,None
html,25,Pre-Course Survey,UBCx/PSYC.1x/sequential/2fc09109b8a14ba2b35bb11997cedc5e/1,None
html,29,Introduction to Part 1,UBCx/PSYC.1x/sequential/bae4586b8df44807816169824403920c/1,None
html,57,What Is Psychology: Learning Goals,UBCx/PSYC.1x/sequential/bd9c75529bb94bd2b11e3a38cd5c1be1/1,None
html,60,Lecture Slides,UBCx/PSYC.1x/sequential/bd9c75529bb94bd2b11e3a38cd5c1be1/2,None
html,61,Discussion Instructions,UBCx/PSYC.1x/sequential/bd9c75529bb94bd2b11e3a38cd5c1be1/2,None
html,63,Glossary of Terms,UBCx/PSYC.1x/sequential/bd9c75529bb94bd2b11e3a38cd5c1be1/3,None
html,110,Web Resources,UBCx/PSYC.1x/sequential/79881c6fdd5f442d849aeb75d28c6ca8/1,None
html,136,Part 1 Quiz Answers,UBCx/PSYC.1x/sequential/db858e37ff5f4e87855059df798ca960/1,None
html,139,Introduction,UBCx/PSYC.1x/sequential/f603bfe0ace24a5badab451b72b7843e/1,None
html,141,Quiz Follow Up,UBCx/PSYC.1x/sequential/f603bfe0ace24a5badab451b72b7843e/1,None
html,144,Check Your Understanding,UBCx/PSYC.1x/sequential/f603bfe0ace24a5badab451b72b7843e/2,None
html,151,Neuroplasticity,UBCx/PSYC.1x/sequential/f603bfe0ace24a5badab451b72b7843e/3,None
html,152,Check Your Understanding,UBCx/PSYC.1x/sequential/f603bfe0ace24a5badab451b72b7843e/3,None
html,159,You Can Learn Anything,UBCx/PSYC.1x/sequential/f603bfe0ace24a5badab451b72b7843e/4,None
html,162,Share Your Story,UBCx/PSYC.1x/sequential/f603bfe0ace24a5badab451b72b7843e/5,None
html,165,Your Opinions,UBCx/PSYC.1x/sequential/f603bfe0ace24a5badab451b72b7843e/6,None
html,168,Part 1: General Discussion,UBCx/PSYC.1x/sequential/eca39484090446edb4b18e3389891030/1,None
html,169,Part 1: AP Psych Teachers General Discussion,UBCx/PSYC.1x/sequential/eca39484090446edb4b18e3389891030/1,None
html,170,Raw HTML,UBCx/PSYC.1x/sequential/eca39484090446edb4b18e3389891030/1,None
html,174,Introduction to Part 2,UBCx/PSYC.1x/sequential/0a9f7e4a913144d5b4de1872ba2a3e23/1,None
html,257,Web Resources,UBCx/PSYC.1x/sequential/9a9ac5d785404130bd8efaac71f7ffcb/1,None
html,283,Part 2 Quiz Answers,UBCx/PSYC.1x/sequential/a702e216808a47b2ae5bee19d5b80dff/1,None
